"Anon.Student.Id","Action","event_id"
2,"IDE.opened",1
2,"IDE.changeCategory",2
2,"HighlightDisplay.checkMyWork",3
2,"HighlightDisplay.promptShowInserts",4
2,"HighlightDisplay.startHighlight",5
2,"HintProvider.processHints",6
2,"others",7
2,"HintProvider.processHints",8
2,"HintProvider.processHints",9
2,"IDE.changeCategory",10
2,"Block.created",11
2,"Block.grabbed",12
2,"Block.snapped",13
2,"HintProvider.processHints",14
2,"SnapDisplay.showScriptHint",15
2,"HintDialogBox.destroy",16
2,"SnapDisplay.showScriptHint",17
2,"HintDialogBox.destroy",18
2,"BlockTypeDialog.newBlock",19
2,"BlockEditor.start",20
2,"BlockTypeDialog.ok",21
2,"HintProvider.processHints",22
2,"SnapDisplay.showScriptHint",23
2,"HintDialogBox.destroy",24
2,"others",25
2,"HintDialogBox.destroy",26
2,"BlockEditor.updateBlockLabel",27
2,"HintProvider.processHints",28
2,"BlockEditor.updateBlockLabel",29
2,"HintProvider.processHints",30
2,"BlockEditor.updateBlockLabel",31
2,"HintProvider.processHints",32
2,"SnapDisplay.showScriptHint",33
2,"BlockEditor.apply",34
2,"BlockEditor.ok",35
2,"HintProvider.processHints",36
2,"IDE.changeCategory",37
2,"Block.created",38
2,"Block.grabbed",39
2,"Block.snapped",40
2,"HintProvider.processHints",41
2,"HintProvider.processHints",42
2,"InputSlot.edited",43
2,"HintProvider.processHints",44
2,"InputSlot.edited",45
2,"HintProvider.processHints",46
2,"InputSlot.edited",47
2,"HintDialogBox.destroy",48
2,"HighlightDialogBoxMorph.destroy",49
2,"HighlightDisplay.stopHighlight",50
6,"Block.clickRun",3060
6,"Block.clickRun",3061
6,"Block.dragDestroy",3062
6,"Block.grabbed",3063
6,"Block.clickRun",3064
6,"BlockEditor.start",3065
6,"Block.grabbed",3066
6,"Block.snapped",3067
6,"BlockEditor.updateBlockLabel",3068
6,"Block.grabbed",3069
6,"BlockEditor.updateBlockLabel",3070
6,"Block.grabbed",3071
6,"Block.dragDestroy",3072
6,"Block.grabbed",3073
6,"Block.dragDestroy",3074
6,"IDE.changeCategory",3075
6,"Block.created",3076
6,"Block.grabbed",3077
6,"BlockEditor.updateBlockLabel",3078
6,"BlockEditor.updateBlockLabel",3079
6,"BlockEditor.updateBlockLabel",3080
6,"BlockEditor.updateBlockLabel",3081
6,"BlockEditor.updateBlockLabel",3082
6,"BlockEditor.updateBlockLabel",3083
6,"BlockEditor.apply",3084
6,"BlockEditor.apply",3085
6,"BlockEditor.ok",3086
6,"IDE.changeCategory",3087
6,"Block.created",3088
6,"Block.grabbed",3089
6,"Block.snapped",3090
6,"IDE.changeCategory",3091
6,"Block.created",3092
6,"Block.grabbed",3093
6,"Block.snapped",3094
6,"Block.created",3095
6,"Block.grabbed",3096
6,"Block.snapped",3097
6,"Block.created",3098
6,"Block.grabbed",3099
6,"Block.snapped",3100
6,"Block.grabbed",3101
6,"Block.snapped",3102
6,"Block.grabbed",3103
6,"Block.snapped",3104
6,"Block.created",3105
6,"Block.grabbed",3106
6,"InputSlot.edited",3107
6,"Block.snapped",3108
6,"IDE.changeCategory",3109
6,"IDE.changeCategory",3110
7,"BlockEditor.updateBlockLabel",6070
7,"BlockTypeDialog.changeBlockType",6071
7,"BlockTypeDialog.cancel",6072
7,"BlockEditor.updateBlockLabel",6073
7,"IDE.changeCategory",6074
7,"Block.created",6075
7,"Block.grabbed",6076
7,"Block.snapped",6077
7,"Block.created",6078
7,"Block.grabbed",6079
7,"Block.snapped",6080
7,"IDE.changeCategory",6081
7,"BlockEditor.updateBlockLabel",6082
7,"BlockEditor.updateBlockLabel",6083
7,"BlockEditor.updateBlockLabel",6084
7,"BlockEditor.updateBlockLabel",6085
7,"BlockTypeDialog.changeBlockType",6086
7,"BlockEditor.changeType",6087
7,"BlockTypeDialog.ok",6088
7,"BlockEditor.updateBlockLabel",6089
7,"BlockEditor.updateBlockLabel",6090
7,"BlockEditor.updateBlockLabel",6091
7,"BlockEditor.updateBlockLabel",6092
7,"BlockEditor.updateBlockLabel",6093
7,"Sprite.addVariable",6094
7,"Block.clickRun",6095
7,"Sprite.deleteVariable",6096
7,"BlockEditor.apply",6097
7,"Block.created",6098
7,"Block.grabbed",6099
7,"Block.snapped",6100
7,"Block.clickRun",6101
7,"HighlightDialogBoxMorph.promptShowOnRun",6102
7,"HighlightDialogBoxMorph.showOnRun",6103
7,"HighlightDisplay.promptShowInserts",6104
7,"HighlightDisplay.startHighlight",6105
7,"HintProvider.processHints",6106
7,"IDE.changeCategory",6107
7,"Block.created",6108
7,"Block.grabbed",6109
7,"Block.snapped",6110
7,"IDE.changeCategory",6111
7,"Sprite.addVariable",6112
7,"Block.created",6113
7,"Block.grabbed",6114
7,"Block.snapped",6115
7,"Block.grabbed",6116
7,"Block.dragDestroy",6117
7,"Block.clickRun",6118
7,"HighlightDialogBoxMorph.showOnRun",6119
7,"HighlightDisplay.startHighlight",6120
8,"IDE.changeCategory",9080
8,"Block.created",9081
8,"Block.grabbed",9082
8,"Block.clickRun",9083
8,"Block.snapped",9084
8,"Block.grabbed",9085
8,"Block.snapped",9086
8,"Block.grabbed",9087
8,"Block.snapped",9088
8,"Block.grabbed",9089
8,"Block.snapped",9090
8,"Block.created",9091
8,"Block.grabbed",9092
8,"Block.snapped",9093
8,"Block.dragDestroy",9094
8,"Block.grabbed",9095
8,"IDE.changeCategory",9096
8,"Block.created",9097
8,"Block.grabbed",9098
8,"Block.snapped",9099
8,"IDE.changeCategory",9100
8,"InputSlot.edited",9101
8,"Block.created",9102
8,"Block.grabbed",9103
8,"Block.snapped",9104
8,"Block.grabbed",9105
8,"Block.grabbed",9106
8,"Block.snapped",9107
8,"Block.snapped",9108
8,"Block.grabbed",9109
8,"Block.snapped",9110
8,"Block.grabbed",9111
8,"Block.snapped",9112
8,"Block.grabbed",9113
8,"Block.snapped",9114
8,"BlockEditor.updateBlockLabel",9115
8,"Block.created",9116
8,"Block.grabbed",9117
8,"Block.snapped",9118
8,"Block.created",9119
8,"Block.grabbed",9120
8,"Block.snapped",9121
8,"Block.grabbed",9122
8,"Block.snapped",9123
8,"InputSlot.edited",9124
8,"InputSlot.edited",9125
8,"Block.grabbed",9126
8,"InputSlot.edited",9127
8,"Block.snapped",9128
8,"Block.grabbed",9129
8,"Block.snapped",9130
9,"Block.dragDestroy",12090
9,"Block.created",12091
9,"Block.grabbed",12092
9,"Block.snapped",12093
9,"Block.created",12094
9,"Block.grabbed",12095
9,"Block.snapped",12096
9,"Block.created",12097
9,"Block.grabbed",12098
9,"Block.snapped",12099
9,"IDE.changeCategory",12100
9,"IDE.changeCategory",12101
9,"Block.created",12102
9,"Block.grabbed",12103
9,"Block.snapped",12104
9,"Block.dragDestroy",12105
9,"Block.grabbed",12106
9,"Block.grabbed",12107
9,"Block.snapped",12108
9,"Block.grabbed",12109
9,"Block.dragDestroy",12110
9,"Block.grabbed",12111
9,"Block.dragDestroy",12112
9,"IDE.changeCategory",12113
9,"Block.grabbed",12114
9,"Block.snapped",12115
9,"Block.grabbed",12116
9,"Block.dragDestroy",12117
9,"Block.grabbed",12118
9,"Block.snapped",12119
9,"Block.grabbed",12120
9,"Block.snapped",12121
9,"Block.grabbed",12122
9,"Block.dragDestroy",12123
9,"IDE.changeCategory",12124
9,"Block.created",12125
9,"Block.grabbed",12126
9,"Block.snapped",12127
9,"IDE.changeCategory",12128
9,"Block.created",12129
9,"Block.grabbed",12130
9,"Block.snapped",12131
9,"Block.created",12132
9,"Block.grabbed",12133
9,"Block.snapped",12134
9,"Block.grabbed",12135
9,"Block.snapped",12136
9,"Block.clickRun",12137
9,"Block.clickStopRun",12138
9,"Block.clickRun",12139
9,"Block.grabbed",12140
